"﻿Paragraph",Name,Hinweise,VL
312b,Außerhalb von Geschäftsräumen geschlossene Verträge,Körperliche Anwesenheit der Vertragsparteien,1
312c,Fernabsatzverträge,Online-Verträge,1
312g,Widerrufsrecht,Widerrufsrecht auch bei Fernabsatzverträgen,1
320,Einrede des nicht erfüllten Vertrags,Obliegende Leistung kann bis zur Bewirkung der Gegenleistung verweigert werden,7
323,Rücktritt wegen nicht oder nicht vertragsgemäß erbrachter Leistung,"Erbringt der Schuldner eine fällige Leistung nicht (vertragsgemäß), so kann der Gläubiger vom Vertrag zurücktreten, wenn er dem Schuldner erfolglos eine angemessene Frist (2 Wochen i.d.R.) zur Leistung oder Nacherfüllung bestimmt hat.",6
326,Befreiung von der Gegenleistung und Rücktritt beim Ausschluss der Leistungspflicht,"Braucht der Schuldner nach 275 nicht zu leisten, entfällt der Anspruch auf Gegenleistung",5
363,Beweislast bei Annahme als Erfüllung,"Wenn Gläubiger eine erfüllte Leistung als Erfüllung annimmt, gilt für ihn die Beweislast, wenn er sie nicht als erfüllt ansehen will.",7
433,Vertragstypische Pflichten beim Kaufvertrag,"Käufer bekommt Sache, Verkäufer erhält Kaufpreis; Kein Bezahlen des Preises ohne Vereinbarung des Kaufpreises",1
434,Sachmangel,“Sache ist so wie sie nicht sein soll”,4
435,Rechtsmangel,"Die Sache ist frei von Rechtsmängel, wenn Dritte in Bezug auf die Sache keine oder nur die im Kaufvertrag übernommenen Rechte gegen den Käufer geltend machen können; BSP: Vertrieb unlizensierter Software",7
437,Rechte des Käufers bei Mangel,Nacherfüllung verlangen; Rücktritt oder Minderung UND Schadensersatz,7
438,Verjährung der Mängelansprüche,Im Normalfall nach 2 Jahren,4
439,Nacherfüllung,"Verkäufer muss Mängel beseitigen oder Lieferung einer mangelfreien Sache tätigen; Wenn Käufer Mängeln annimmt, kann er Preisminderung fordern",4
440,Besondere Bestimmungen für den Rücktritt und Schadensersatz,Eine Nachbesserung gilt nach dem erfolglosen zweiten Versuch als fehlgeschlagen,7
442,Kenntnis des Käufers,Käufer ist verantwortlich Ware beim Kauf zu prüfen,3
443,Garantie,"Verkäufer muss Preis erstatten oder Sache ausbessern, wenn Beschaffenheit nicht der Vereinbarung entspricht.",3
444,Haftungsausschluss,"Vereinbarung, durch welche die Rechte des Käufers wegen eines Mangels ausgeschlossen oder beschränkt werden, wenn er Mängel nicht verschwiegen hat; Mängelansprüche nach 438",7
446-448,Gefahrenübergang; Gefahrenübergang beim Versendungskauf; Kosten der Übergabe,"Mit der Übergabe geht die Gefahr dem Käufer zu;
Wird Sache auf Verlangen vom Käufer an anderen Ort als Erfüllungsort versandt, so geht die Gefahr auf den Käufer über, in dem Moment als der Verkäufer dem Spediteur die Sache übergibt;
Verkäufer trägt Kosten der Übergabe, Käufer trägt Kosten der Abnahme und Versendung der Sache nach anderem Ort als Erfüllungsort",4
449,Eigentumsvorbehalt,Eigentum wird vorbehalten bis Zahlung vollständig.,6
453,Rechtskauf; Vebrauchervertrag über den Kauf digitaler Inhalte,,7
474,Verbrauchsgüterkäufe,Verbrauchsgüterkäufe sind Verträge durch die eine Verbraucher von einem Unternehmer eine Ware/Dienstleistung kauft.,7
475b-e,Sachmangel einer Ware mit digitalen Elementen,,7
476,Abweichende Vereinbarungen (bei Mängeln),,7
477,Beweislastumkehr,"Zeigt sich innerhalb von einem Jahr nach Gefahrenübergang ein Sachmangel, so kann davon ausgegangen, dass der Sachmangel bereits vorher vorlag",4
479,Sonderbestimmungen für Garantien,,7
516,Begriff der Schenkung,Ein Schenkungsvertrag ist unentgeltlich,2
521,Haftung des Schenkers,Schenker hat nur Vorsatz und grobe Fahrlässigkeit zu vertreten.,6
518,Form des Schenkungsversprechens,"Das Versprechen einer Schenkung muss notariell beurkundet werden, nicht die Schenkung selbst → Notar ist unnötig wenn Leistung erfüllt wird",2
